  60.911      2.0 120.44921064081848 2007.4868440136413
  75.177      5.0 2.710107239418416 4014.9736880272826
  78.601      3.0 90.33690798061386 15056.15133010231
  80.605      3.0 46.17219741231375 5018.717110034103
   85.57      3.0 121.4529540628253 13048.664486088668
  89.929      2.0 401.49736880272826 4014.9736880272826
  95.902      3.0 125467.92775085258 10037.434220068206
  99.533      6.0 55.205888210375136 13048.664486088668
 102.515     10.0 49.18342767833421 19071.12501812959
  107.22      6.0 49.18342767833421 11041.177642075027
 109.915      3.0 80.29947376054565 8029.947376054565
 110.985      5.0 171.64012516316635 12044.921064081847
  116.23      4.0 105.39305931071617 12044.921064081847
 123.499      4.0 53.198401366361495 8029.947376054565
 124.093      5.0 62.23209216442288 8029.947376054565
 124.698      3.0 93.34813824663432 11041.177642075027
 130.075      5.0 45.16845399030693 10037.434220068206
 130.163      3.0 92.3443948246275 29108.5592381978
 132.015      9.0 41.15348030227965 9033.690798061385
 133.919      4.0 62.23209216442288 10037.434220068206
  138.32      7.0 44.16471056830011 13048.664486088668
 138.376     12.0 46.17219741231375 12044.921064081847
 140.369     18.0 39.145993458266005 17063.63817411595
 140.659      3.0 180.67381596122772 11041.177642075027
 142.099     16.0 55.205888210375136 10037.434220068206
 142.412      9.0 83.31070402656611 13048.664486088668
 151.378      3.0 197.73745413534368 10037.434220068206
 152.432     11.0 56.20963163238196 11041.177642075027
 153.488      7.0 56.20963163238196 14052.407908095489
 154.341      6.0 87.3256777145934 14052.407908095489
 154.639      3.0 913.4065140262069 8029.947376054565
 156.141      5.0 102.3818290446957 11041.177642075027
 156.531      3.0 190.71125018129592 3011.230266020462
 162.378      7.0 130.48664486088668 4014.9736880272826
  165.27      5.0 96.35936851265478 9033.690798061385
 165.895      6.0 276.0294410518757 24089.842128163695
 170.857     15.0 45.16845399030693 9033.690798061385
 171.077      5.0 30.11230266020462      0.0
 173.254      7.0 107.40054615472981 10037.434220068206
 175.531     13.0 46.17219741231375 16059.89475210913
 176.803      5.0 341.272763482319 2007.4868440136413
 180.198      6.0 198.7411975573505 9033.690798061385
  182.55      8.0 66.24706585245016 9033.690798061385
 183.403      5.0 144.53905276898217 11041.177642075027
 183.782      8.0 210.78611862143234 5018.717110034103
 184.847      7.0 194.7262238693232 12044.921064081847
 186.182      4.0 192.71873702530957 21078.611862143232
 193.603      4.0 133.49787512690716 11041.177642075027
 194.116      6.0 122.45669748483212 11041.177642075027
 196.108      5.0 211.78986204343914 14052.407908095489
 196.723      8.0 166.62140805313223 14052.407908095489
 199.833      4.0 813.0321718255248 3011.230266020462
  203.13      9.0 103.38557246670253 15056.15133010231
 203.774      6.0 92.3443948246275 19071.12501812959
 203.982      5.0 128.47915801687304 13048.664486088668
  206.09      4.0 271.0107239418416 25093.585550170515
 212.488     16.0 57.21337505438878 15056.15133010231
 212.917      6.0 242.9059081256506 16059.89475210913
  217.96     11.0 130.48664486088668 14052.407908095489
 220.189      4.0 521.9465794435467 4014.9736880272826
 225.058     16.0 169.6326383191527 13048.664486088668
 225.215     10.0 112.41926326476391 25093.585550170515
 225.852      5.0 215.80483573146643 20074.86844013641
 226.213      9.0 194.7262238693232 18067.38159612277
 228.041     14.0 103.38557246670253 12044.921064081847
 229.812      6.0 12546.792775085258 12044.921064081847
 230.199     13.0 351.3101977023872 8029.947376054565
 231.684      8.0 150.5615133010231 16059.89475210913
 232.689      8.0 94.35188166864114 20074.86844013641
 236.897      9.0 2860.668752719439 15056.15133010231
 239.509      8.0 461.7219741231375 3011.230266020462
 240.301      7.0 732.7326980649791 4014.9736880272826
  240.95      6.0 351.3101977023872 3011.230266020462
 246.472      4.0 582.1711847639559 4014.9736880272826
 248.759      7.0 200.74868440136413 2007.4868440136413
 256.195      4.0 2208.235528415006 12044.921064081847
 261.976      7.0 1806.7381596122773 10037.434220068206
 263.081     12.0 210.78611862143234 4014.9736880272826
 267.989      6.0 331.23532926225084 3011.230266020462
 269.144     22.0 151.5652567230299 25093.585550170515
 269.962     29.0 73.27326980649791 23086.098706156874
 270.537     24.0 110.41177642075027 3011.230266020462
 270.804     16.0 175.6550988511936 25093.585550170515
 272.431     14.0 126.4716711728594 18067.38159612277
  272.96     12.0 120.44921064081848 4014.9736880272826
 275.617     19.0 138.51659223694125 22082.355284150053
 276.139     19.0 210.78611862143234 23086.098706156874
 277.048     22.0 104.38931588870935 23086.098706156874
 277.469     12.0 160.5989475210913 3011.230266020462
 278.072     12.0 156.58397383306402 23086.098706156874
