#
#   THE LEVEL STRUCTURE OF {114}^Cd FROM (n, \gamma) AND (d, p) STUDIES
#
# (A. MHEEMEED  K. SCHRECKENBACH, G. BARREAU, H. R. FAUST,
#  H. G. BORNER, R. BRISSOT, P. HUNGERFORD, H. H. SCHMIDT,
#  H. J. SCHEERER, T. VON EGIDY, K. HEYDE J. L. WOOD, P. VAN ISACKER,
#  M. WAROQUIER, G. WENES and M. L. STELTS)
#                 NUCL.PHYS. A412 (1984) 113-140
#
#                             APPENDIX
#
#     TRANSITIONS OBSERVED IN THE {113}^Cd(n_{th},\gamma){ll4}^Cd REACTION
#
# Table Al summarizes the observed properties of transitions in {114}^Cd following
# thermal neutron capture. All uncertainties are given in brackets in units of the last
# digits.
#
#                            TABLE A1
#  TRANSITIONS OBSERVED IN THE  {113}^Cd(n_{th},\gamma){ll4}^Cd REACTION
#
# The y-ray intensities (I_{\gamma}) are normalized to lo^4 captured neutrons based on an
# estimation of 95% for the observed ground state population.
# E_{\gamma}(\Delta{E_{\gamma}}) I_{\gamma}{\Delta(I_{\gamma})}
# (keV)                               (1/10000n)
#
499.916(26)                       0.65(17)
500.562(16)                       1.14(15)
502.667(10)                       3.15(24)
506.553(6)                        3.72(20)
522.542(11)                       31.7(33)
523.588(20)                       1.13(23)
532.320(10)                       5.6(8)
536.350(12)                       23.9(23)
553.651(7)                        9.7(5)
558.456(2)                        7443(370)
561.182(23)                       1.3(3)
567.328(7)                        9.2(20)
567.736(26)                       10.8(5)
576.079(4)                        447(20)
579.827(14)                       3.04(25)
580.516(5)                        30.4(17)
583.298(18)                       0.92(12)
584.377(14)                       2.16(13)
593.253(10)                       3.5(2)
593.755(16)                       3.7(3)
596.485(5)                        10.6(10)
597.016(10)                       2.85(15)
600.472(7)                        3.5(2)
601.354(20)                       1.36(23)
602.117(16)                       1.94(15)
602.676(27)                       0.92(11)
607.452(14)                       1.31(20)
609.509(14)                       41(3)
614.307(29)                       1.3(2)
622.259(6)                        6.2(3)
624.834(39)                       1.78(15)
628.799(12)                       2.7(2)
632.247(6)                        8.8(4)
640.51(4)                         2.3(6)
642.902(5)                        50(2)
648.316(17)                       20.7(19)
649.844(35)                       6.3(15)
651.256(5)                        1409(80)
652.940(30)                       3.7(12)
654.551(5)                        133(6)
659.20(5)                         1.0(2)
661.207(26)                       1.7(2)
665.735(15)                       3.1(2)
674.30(5)                         0.86(22)
677.184(30)                       3.5(2)
683.621(6)                        11.1(5)
687.857(21)                       1.64(18)
688.792(17)                       2.8(2)
692.101(27)                       2.9(3)
694.45(12)                         <0.8
707.419(5)                        116(5)
708.260(18)                       6.0(6)
712.128(26)                       2.5(3)
716.064(14)                       3.3(3)
718.464(20)                       2.5(2)
722.368(6)                        31.3(15)
725.298(9)                        446(20)
728.556(37)                       1.7(3)
732.313(31)                       2.0(3)
738.349(28)                       1.6(2)
742.419(7)                        24.8(15)
742.943(17)                       10.7(6)
747.151(6)                        72(5)
748.385(7)                        121(6)
755.425(31)                       2.0(3)
761.121(24)                       3.4(4)
761.987(14)                       4.6(4)
772.169(27)                       2.42(23)
774.84(S)                         1.6(3)
780.54(8)                         2.40(24)
791.478(17)                       4.8(3)
797.65(4)                         2.7(3)
798.92(S)                         2.0(4)
800.985(35)                       3.1(4)
802.076(17)                       5.8(9)
805.887(5)                        511(35)
811.351(16)                       4.8(3)
819.83(6)                         3.7(3)
821.328(29)                       2.7(3)
825.29(S)                         2.6(7)
826.268(6)                        38(3)
833.976(32)                       3.5(4)
838.309(6)                        10.6(10)
840.217(12)                       25.0(25)
844.629(13)                       6.7(7)
852.30(4)                         2.2(5)
853.983(14)                       8.5(8)
854.62(i)                         3.6(3)
859.21(5)                         2.4(3)
862.171(24)                       6.0(4)
865.371(7)                        40(3)
868.513(17)                       7.3(4)
873.308(37)                       3.6(4)
881.56(5)                         1.9(3)
900.27(6)                         1.7(3)
905.08(7)                         2.2(5)
908.30(10)                        2.1(5)
913.622(23)                       12.6(6)
920.791(13)                       42.6(34)
931.91(9)                         2.5(5)
942.547(30)                       11.6(11)
949.464(33)                       6.3(4)
975.17(5)                         3.3(4)
987.196(34)                       11.8(8)
994.852(9)                        41.l(25)
999.743(19)                       10.1(8)
1004.9l(5)                        5.0(7)
1015.178(17)                      15.2(15)
1024.73(5)                        5.5(6)
1029.471(20)                      8.5(8)
1031.967(23)                      6.6(5)
1044.09(7)                        5.0(7)
1049.89(9)                        5.5(21)
1052.25(9)                        3.7(7)
1067.230(17)                      12.8(10)
1091.64(9)                        6.1(8)
1097.35(11)                       3.6(8)
1107.761(21)                      22.1(17)
1134.60(5)                         <2
1161.064(31)                      17.3(1.7)
1162.309(40)                      7.9(9)
1165.38(8)                        6.7(7)
1173.782(19)                      28.8(16)
1175.076(20)                      27.6(14)
1177.043(26)                      17.5(12)
1189.81(6)                        6.7(12)
1197.45(7)                        11.8(17)
1209.713(7)                       415(31)
1218.58(11)                       3.4(7)
1219.779(30)                      22.5(14)
1228.00(10)                       6.2(8)
1247.85(6)                        6.7(12)
1260.56(5)                        11.8(12)
1261.85(11)                       6.9(14)
1276.35(22)                       9.0(12)
1283.495(14)                      169(11)
1285.83(8)                        20(3)
1299.82(5)                        20(4)
1301.234(18)                      103(8)
1305.588(38)                       <10
1305.783(21)                      114(6)
1315.677(22)                      31(3)
1364.339(6)                       464(32)
1370.617(22)                      108(6)
1376.27(9)                        11(3)
1396.739(40)                      20(2)
1399.638(11)                      345(32)
1416.10(11)                       13.6(17)
1426.60(34)                       4.1(16)
1432.78(10)                       9.7(13)
1447.63(6)                        9.6(8)
1449.23(9)                        4.6(6)
1473.40(10)                       6.8(14)
1489.560(10)                      238(11)
1491.39(23)                       15(2)
1522.90(9)                        13.8(15)
1543.76(19)                       10(2)
1618.43(7)                        27(3)
1646.12(4)                        58(3)
1652.59(11)                       26(6)
1660.368(16)                      279(15)
1759.58(10)                       24(4)
1826.302(34)                      110(6)
1841.98(8)                        62(5)
1853.68(36)                       13(3)
1859.70(5)                         <2
1879.10(5)                        72(4)
1900.34(34)                       18(3)
1902.19(14)                       17(3)
1966.80(20)                       27(5)
1995.06(17)                       48(7)
2021.9(1)                         44(9)
2022.7(2)                         44(9)
2047.7(3)                         18(3)
2078.1(1)                         48(3)
2082.5(3)                         19(3)
2099.1(4)                         18(3)
2102.4(1)                         93(5)
2124.5(2)                         20(3)
2143.2(2)                         18(3)
2190.8(1)                         57(4)
2198.0(4)                         14(3)
2209.2(1)                         58(3)
2230.2(1)                         63(4)
2242.0(2)                         23(3)
2248.1(3)                         15(3)
2253.4(1)                         58(4)
2278.7(3)                         14(3)
2313.5(1)                         45(3)
2351.1(2)                         22(4)
2352.2(2)                         44(4)
2377.8(2)                         20(4)
2383.1(2)                         25(4)
2394.9(1)                         69(5)
2398.6(1)                         77(5)
2437.7(1)                         < 10
2440.7(3)                         16(3)
2456.0(1)                         410(25)
2478.4(1)                         31(6)
2518.9(2)                         10(2)
2525.1(1)                         18(3)
2550.1(1)                         153(8)
2551.9(9)                         23(3)
2554.0(1)                         < 10
2557.4(1)                         18(3)
2569.4(4)                         13(3)
2581.7(1)                         37(3)
2587.9(2)                         22(3)
2598.6(1)                         52(3)
2609.0(1)                         37(3)
2615.3(7)                         10(4)
2618.5(7)                         11(4)
2650.1(1)                         71(4)
2660.1(1)                         277(14)
2674.5(2)                         26(3)
2682.1(3)                         15(3)
2699.5(2)                         53(5)
2702.7(2)                         39(4)
2704.5(2)                         36(4)
2724.8(4)                         13(3)
2740.1(3)                         21(4)
2749.2(2)                         4.0(13)
2751.4(1)                         5.6(13)
2764.2(3)                         24(3)
2767.5(2)                         114(6)
2776.0(1)                         40(3)
2788.4(2)                         19(2)
2792.7(4)                         12(2)
2800.1(1)                         114(6)
2810.6(2)                         20(4)
2811.9(2)                         21(5)
2850.2(2)                         16(2)
2869.6(3)                         15(2)
2887.1(3)                         11(2)
2897.0(2)                         23(3)
2905.2(3)                         13(2)
2927.9(4)                         11(3)
2933.0(4)                         13(3)
2945.3(3)                         16(3)
2950.4(2)                         23(3)
2985.5(5)                         8.8(25)
2993.6(2)                         24(3)
2999.7(1)                         118(7)
3001.8(2)                         21(5)
3053.1(2)                         64(6)
3055.1(5)                         19(5)
3077.6(2)                         21(2)
3087.5(3)                         12(2)
3099.7(1)                         34(2)
3108.2(2)                         57(10)
3110.4(2)                         65(10)
3202.1(4)                         11(3)
3213.5(2)                         33(3)
3217.5(4)                         13(4)
3219.2(2)                         65(9)
3230.7(2)                         23(3)
3238.6(2)                         23(3)
5384.9(2)                         26(2)
5429.3(2)                         32(3)
5433.1(1)                         116(6)
5458.0(1)                         30(2)
5482.9(2)                         10(1)
5491.6(1)                         15.9(10)
5535.7(2)                         15.4(10)
5541.3(5)                         6.1(9)
5554.4(1)                         38(2)
5598.5(1)                         23.1(11)
5634.1(1)                         13.7(8)
5665.5(4)                         5.1(7)
5673.5(1)                         34(2)
5692.3(3)                         6.5(7)
5709.1(1)                         53(3)
5721.9(1)                         47(3)
5727.2(6)                         5.4(10)
5779.7(4)                         10.0(11)
5785.1(1)                         81(4)
5810.7(4)                         5.7(9)
5824.6(1)                         295(14)
5837.4(5)                         29(11)
5876.0(2)                         13.3(9)
5885.9(2)                         14.0(11)
5934.5(1)                         80(4)
5944.6(1)                         38(2)
5965.3(3)                         5.2(6)
5990.4(1)                         13.3(14)
6043.4(1)                         19.4(11)
6101.2(2)                         7.2(7)
6215.4(2)                         5.9(6)
6231.0(1)                         23.2(12)
6242.7(2)                         9.3(7)
6254.6(1)                         11.8(7)
6275.5(3)                         5.2(6)
6293.1(5)                         2.5(5)
6382.2(1)                         11.5(6)
6393.2(4)                         3.2(5)
6405.9(3)                         5.9(6)
6462.7(1)                         25.9(13)
6489.7(5)                         2.5(5)
6517.8(1)                         21.4(14)
6587.2(1)                         32.4(17)
6605.4(1)                         40.7(20)
6824.2(1)                         60(3)
6995.1(1)                         12.9(8)
7200.7(3)                         2.7(3)
7678.7(1)                         63(3)
7737.4(1)                         31.2(16)
7833.3(1)                         29.7(15)
7908.4(2)                         5.4(4)
8484.8(1)                         48(3)
9043.1(1)                         24.7(13)





























































































































